groupid,url,name,review_id,sentence_id,text,annotation1_Lorena,annotation2_Dora,annotation3_Nika,label_Sara
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,15,1,"Odlično iskustvo, odlučila sam ispravno kad sam rekla da će mi oni voditi trudnoću.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,15,2,"Pružaju osjećaj sigurnosti, povjerenja i ugode.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,15,3,Sve preporuke!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,16,1,Doktorica Belak i sestra Antonija su primjer kako se zdravstveni djelatnici trebaju odnositi prema pacijentima.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,16,2,"Uvijek ljubazne, spremne pomoći.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,16,3,"Doktorica je izrazito stručna, pristojna i pristupačna, sa nivoom odnosa prema pacijentima kakvom bi svi trebali težiti.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,16,4,"Sestra Antonija je divna osoba koja uvijek odgovori na mail, javi se na telefon, da savjet, pomogne i umiri.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,16,5,Za svaku preporuku.,positive,neutral,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,17,1,Divna doktorica i divna sestra.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,17,2,"Odgovarajau na mailove, zovu i pitaju kako ste, doktorica nježna, sestra brižna.",positive,neutral,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,17,3,S razlogom su godinama na listi najdoktora :),positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,17,4,Hvala Vam :),positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,18,1,"Doktorica Belak je vrhunski profesionalac ali stvarno prije svega ona je dobar čovjek, ljudina, koja je spreman u svakom trenutku pomoći, kakva god situacija bila.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,18,2,Nije od onih privatnika kojima je bitno uzeti vam novac!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,18,3,"Nikad ne pišem komentare, ali doktoricu Belak sam bas imala potrebu pohvaliti.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,18,4,"Jer je ona doktor kojem je stalo do svakog pacijenta, toliko ljubazna, srdačna, smirena.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,18,5,Nije joj problem nazvati pacijenta i par puta kada pacijent ima neki problem.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,18,6,Koji to privatnik će vas nazvati na vas privatni mobitel da vam pomogne da riješite problem i da vidi jel sve oke?,positive,positive,mixed,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,18,7,I nisu bez razloga ovi svi predivni komentari tu napisani.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,18,8,Doktorica Belak je najbolji ginekolog u Zagrebu.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,19,1,"Strpljiva, pažljiva pri pregledu, prizemljena u zaključcima i vrlo pozitivna.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,19,2,"Kako sam trudna, bila sam dva puta kod dr. Belak na ultrazvuku - iznimna žena, strpljiva i nasmijana, sve objasni i ima vremena za svakoga!",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,20,1,Dr. Belak je najbolji ginekolog kod kojeg sam ikada bila.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,20,2,"Godinama se mučim s ginekološkim problemima, doktorica je rješila moj problem u dva dolaska.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,20,3,"Ona nije samo ginekolog, ona je stručnjak za mnogo drugih grana i njezina stručnost, profesionalnost, a prije svega ljudskost nešto je što je čini izvanrednim liječnikom.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,20,4,Ja ginekologu ne idem više nigdje drugdje.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,20,5,"Sve pohvale i za sestru koja je presimpatična, jako dobro informirana i educirana i jako nježna i draga.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,21,1,Doktorici Belak dolazim par godina.,neutral,neutral,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,21,2,Uvijek mi je bila dostupna i kad mi je trebao savijet ili je bilo nesto hitno pa je dosla po potrebi.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,21,3,Stručna empatična i uvijek volnja pomoci.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,21,4,suprug i ja smo oboje na pocetku korone ostali bez posla bilo je hitno prim ginekolozi nisu primali obavila mi jevsve potrebno a kad smo pricale o mojoj situaciji oboje bez posla i s troje male djece nije željela naplatiti nista.,positive,mixed,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,21,5,Topla draga osoba s puno razumjevanja za tuđe probleme.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,21,6,Sve najbolje o dr. Belak i od srca je mogu preporuciti,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,22,1,Topla iskrena osoba koja stvarno posveti sebe potpuno pacijentu i objasni u najmanji detalj sve sto pitate.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,22,2,I sestra je super!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,23,1,"simpatična, ljubazna i stručna doktorica, iskreno vodi brigu o svakom pacijentu, također moram pohvaliti i sestru koja je jako draga i uvijek spremna pomoći savjetima i saslušati.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,24,1,Doktorica Belak je prva uspela pronaći uzroke mojih problema i sve riješiti u kratkom roku adekvatnom terapijom.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,24,2,"Pratila me kroz vrlo komplicirane i teške situacije i uvijek je velika podrška kao stručnjak, kao čovjek i kao žena.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,24,3,Sestra također veoma ljubazna i nekako se uvijek dobro osjećam kada dođem tamo.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,25,1,Dr. Belak je definitivno najbolji doktor s kojim sam se susrela.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,25,2,"Spasila mi je život, za mene je najbolja doktorica, jako je ljubazna,s uper objasni , zahvalna sam joj cijeli život!",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,26,1,Svakome bih preporucila doktoricu Belak i sestru Antoniju.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,26,2,Godinama sam njihov pacijent i svaki put imam samo pozitivna iskustva.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,26,3,"Obje su vrlo profesionalne, smirene, strpljive, pristupacne, ljubazne i strucne.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,26,4,"Pregledi prolaze bezbolno i mogu reci da ih ""jedva"" osjetim, a i doktorica i sestra se uvijek maksimalno potrude sve objasniti i odgovoriti na svako pitanje.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,26,5,"Svemu pristupaju s visokom dozom posvecenosti i takodjer su za konzultacije, osim uzivo, dostupne i telefonskim putem i putem E-maila.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,26,6,Dijele kvalitetne savjete i povezuju svoje pacijente s ostalim strucnjacima.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,26,7,U danasnje se vrijeme zaista cijeni takva usluga.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,27,1,Vrlo pažljiva doktorica jako pristupačna i daje sve od sebe da pregled bude i ugodan i da rješi sve medicinske probleme .,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,27,2,Sestra također pristupačna i ljubazna.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,27,3,Preporučam ih i najdražim prijateljicama,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,28,1,"predivna doktorica,topla,sve lijepo objasni.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,28,2,Godinama sam izbjegavala odlazak k ginekologu radi negativnih iskustava.,neutral,negative,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,28,3,Kod dr. Belak toga nema.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,28,4,Da je barem više takvih liječnika.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,28,5,"Sestra također divna,opusti čovjeka prije pregleda.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,28,6,Sve za svaku pohvalu.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,29,1,"Oko četiri godine odlazila sam kod više ginekologa zbog izuzetno bolnih odnosa , zapravo ih nisam mogla ni imati.",neutral,negative,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,29,2,Pregledi su bili užasno bolni.,negative,negative,negative,negative
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,29,3,"Dobivala sam razne kreme , uputili su me psihijatru,rekli su da će to proći kad rodim , mada neznam kako jer suprug i ja uopće nismo mogli imali odnose.",negative,negative,negative,negative
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,29,4,"Dr. Belak je posumnjala na lichen sclerosus , rijetku autoimunu bolest.",neutral,neutral,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,29,5,Poslala me prof. Skerlevu na dermatologiju Šalata koji je nakon biopsie potvrdio dijagnozu.,neutral,neutral,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,29,6,Sada nakon lječenja postala sam majka i naš se život promijenio u superlativ.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,29,7,Znam da se bolest može vratiti i redovito idem na preglede kod prof. Skrerleva a na ginekološke kod dr. Belak .,neutral,neutral,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,29,8,Od srca joj hvala jer mi je promjenila život.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,30,1,"Doktorica je brižna i profesionalna , malo koji doktor ti da privatni broj za naknadne konzultacije .",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,30,2,Starija sam pacijentica i imam iskustva a za doktoricu Belak mogu reći da je pacijent ispred nje same i briga za pacijenta ne poznaje doba dana.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,30,3,Topla preporuka svim ženama,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,31,1,Dr. Belak jako puno ulaže u svoju promidžbu.,negative,negative,neutral,negative
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,31,2,"Sve što ne doprinosi njenoj reklami, nije joj zanimljivo.",negative,negative,negative,negative
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,31,3,Ona je možda ljubazna s mladim ušminkanim pacijenticama koje samo dolaze po recept ili savjet.,negative,negative,negative,negative
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,31,4,Ja sam žena u godinama i došla sam joj sa stvarnim problemom.,neutral,negative,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,31,5,"Prema meni je bila osorna, distancirana i gledala me 's visoka'.",negative,negative,negative,negative
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,31,6,Ne pada mi napamet da ikad više odem k njoj.,negative,negative,negative,negative
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,32,1,Velike preporuke svima za doktoricu Belak.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,32,2,Imam samo riječi hvale za obje - doktoricu i sestru.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,32,3,"Ljubazne, smirene, drage, susretljive, zaista su me iznenadile svojim pristupom.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,32,4,Kad bi barem bilo više takvih!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,33,1,"Odlično iskustvo pregleda, za one koji su u grču poput mene u ordinaciji je smirujuća atmosfera a doktorica svojim pristupom i razgovorom zaista opusti.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,33,2,"Rado objasni nedoumice, a tokom pregleda objašnjava što radi kako bi pregled prošao što bezbolnije,brže i ugodnije.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,33,3,Sve pohvale!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,34,1,Doktorica koja je uvijek spremna pomoći i dati savjet.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,34,2,Medicinska sestra također vrlo ljubazna.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,34,3,Svaka preporuka!,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,35,1,"Izuzetno stručna, profesionalna i ljubazna doktorica.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,35,2,Također samo riječi pohvale za medicinsku sestru.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,36,1,"Danas sam prvi puta bila kod doktorice Belak i mogu samo riječi hvale reći za nju ,toplo preporučam svakome!",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,37,1,Nazvala sam ordinaciju Dr Belak neugodno iznenađena i uplašena ginekološkim problemom.,neutral,positive,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,37,2,"Sestra Antonija mi je, nakon što sam joj opisala problem, isti dan dala termin kod doktorice.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,37,3,"Dr Belak mi je odmah napravila ultrazvuk, organizirala color doppler, kao i moj daljnj tretman u bolnici.",positive,neutral,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,37,4,"Rastumačila mi je moju situaciju, svojim pristupom me smirila i učinila više nego što joj njena profesionalna dužnost nalaže.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,37,5,Zahvaljujem doktorici i sestri i mogu ih toplo preporučiti.,positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,37,6,Zlata Pelajić,neutral,neutral,neutral,neutral
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,38,1,"Doktorica je generalno u redu, ljubazna je i odgovari na pitanje.",positive,positive,positive,positive
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,38,2,"Međutim, na mene je ostavila dojam da je svako moje pitanje bilo ''glupo'', odnosno neutemeljeno.",negative,negative,negative,negative
3,https://najdoktor.com/Snje%C5%BEana-Belak/d16900,Snježana Belak,38,3,"Kod doktora izuzetno ne cijenim, jer da me nešto ne muči očito ne bih ni došla na pregled i konzultacije.",negative,negative,negative,negative
